# The daily noon exchange rates for major foreign currencies are published every business day at about 12:30
# p.m. EST. They are obtained from market or official sources around noon and show the rates for the
# various currencies in Canadian dollars converted from US dollars. The rates are nominal quotations -
# neither buying nor selling rates - and are intended for statistical or analytical purposes. Rates
# available from financial institutions will differ.
#
Date (<y>-<m>-<d>), ISO4217, 2016-08-24, 2016-08-25, 2016-08-26, 2016-08-29, 2016-08-30, 2016-08-31, 2016-09-01
U.S. dollar , USD_NOON, 1.2940, 1.2937, 1.2947, 1.3019, 1.3076, 1.3124, 1.3107
U.S. dollar (close), USD_CLOSE, 1.2930, 1.2926, 1.3000, 1.3022, 1.3096, 1.3116, Not available
US/Canada noon 3-month forward points spread, IEXE0124, -0.05, -0.05, -0.05, -0.05, -0.06, -0.06, -0.05
US/Canada noon 6-month forward points spread, IEXE0125, -0.11, -0.11, -0.11, -0.12, -0.13, -0.14, -0.13
Argentine peso, ARS_NOON, 0.08695, 0.08685, 0.08667, 0.08625, 0.08648, 0.08812, 0.08817
Australian dollar, AUD_NOON, 0.9840, 0.9846, 0.9859, 0.9861, 0.9827, 0.9869, 0.9883
Bahamian dollar, BSD_NOON, 1.2940, 1.2937, 1.2947, 1.3019, 1.3076, 1.3124, 1.3107
Brazilian real, BRL_NOON, 0.3998, 0.4004, 0.4035, 0.4012, 0.4019, 0.4042, 0.4037
CFA franc (African Financial Community), XAF_NOON, 0.002221, 0.002223, 0.002218, 0.002219, 0.002223, 0.002230, 0.002237
CFP franc (Pacific Financial Community), XPF_NOON, 0.01221, 0.01222, 0.01219, 0.01220, 0.01222, 0.01226, 0.01230
Chilean peso, CLP_NOON, 0.001930, 0.001947, 0.001947, 0.001942, 0.001939, 0.001932, 0.001928
Chinese renminbi, CNY_NOON, 0.1943, 0.1943, 0.1941, 0.1950, 0.1957, 0.1965, 0.1965
Colombian peso, COP_NOON, 0.000439, 0.000444, 0.000448, 0.000445, 0.000446, 0.000444, 0.000438
Croatian kuna, HRK_NOON, 0.1943, 0.1947, 0.1943, 0.1943, 0.1947, 0.1956, 0.1961
Czech Republic koruna, CZK_NOON, 0.05388, 0.05397, 0.05381, 0.05384, 0.05395, 0.05413, 0.05430
Danish krone, DKK_NOON, 0.1957, 0.1959, 0.1954, 0.1955, 0.1959, 0.1966, 0.1972
East Caribbean dollar, XCD_NOON, 0.4810, 0.4809, 0.4813, 0.4840, 0.4861, 0.4879, 0.4872
European Euro, EUR_NOON, 1.4566, 1.4585, 1.4550, 1.4557, 1.4580, 1.4628, 1.4672
Fiji dollar, FJD_NOON, 0.6266, 0.6265, 0.6270, 0.6269, 0.6388, 0.6300, 0.6289
Ghanaian cedi, GHS_NOON, 0.3265, 0.3265, 0.3255, 0.3295, 0.3305, 0.3309, 0.3306
Guatemalan quetzal, GTQ_NOON, 0.1662, 0.1662, 0.1663, 0.1673, 0.1680, 0.1686, 0.1684
Honduran lempira, HNL_NOON, 0.05665, 0.05667, 0.05679, 0.05715, 0.05720, 0.05744, 0.05741
Hong Kong dollar, HKD_NOON, 0.166873, 0.166816, 0.166928, 0.167865, 0.168549, 0.169193, 0.168970
Hungarian forint, HUF_NOON, 0.004703, 0.004717, 0.004711, 0.004718, 0.004706, 0.004725, 0.004735
